date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:05:59	42673/42673	---MCZ	200	added ('OK')	text/html	etag:W/%22a6b1-552d981d433b2%22	http://glanz.starkethemes.com/html/03_01_blog_sidebar.html	D:/Wedding%20Web/glanz.starkethemes.com/html/03_01_blog_sidebar.html	(from http://glanz.starkethemes.com/html/01_02_home_pink_flowers.html)
13:05:59	39556/39556	---MCZ	200	added ('OK')	text/html	etag:W/%229a84-552d6d7add7b1%22	http://glanz.starkethemes.com/html/03_02_blog_1col.html	D:/Wedding%20Web/glanz.starkethemes.com/html/03_02_blog_1col.html	(from http://glanz.starkethemes.com/html/01_02_home_pink_flowers.html)
13:05:59	37886/37886	---MCZ	200	added ('OK')	text/html	etag:W/%2293fe-552d981df0152%22	http://glanz.starkethemes.com/html/03_03_blog_single_sidebar.html	D:/Wedding%20Web/glanz.starkethemes.com/html/03_03_blog_single_sidebar.html	(from http://glanz.starkethemes.com/html/01_02_home_pink_flowers.html)
13:06:00	34773/34773	---MCZ	200	added ('OK')	text/html	etag:W/%2287d5-552d6d7cf59d1%22	http://glanz.starkethemes.com/html/03_04_blog_single_col1.html	D:/Wedding%20Web/glanz.starkethemes.com/html/03_04_blog_single_col1.html	(from http://glanz.starkethemes.com/html/01_02_home_pink_flowers.html)
13:06:00	33333/33333	---MCZ	200	added ('OK')	text/html	etag:W/%228235-552d981ea1d12%22	http://glanz.starkethemes.com/html/04_01_shop_category_col1.html	D:/Wedding%20Web/glanz.starkethemes.com/html/04_01_shop_category_col1.html	(from http://glanz.starkethemes.com/html/01_02_home_pink_flowers.html)
13:06:00	40656/40656	---MCZ	200	added ('OK')	text/html	etag:W/%229ed0-552d6d7f49511%22	http://glanz.starkethemes.com/html/04_02_shop_category_sidebar.html	D:/Wedding%20Web/glanz.starkethemes.com/html/04_02_shop_category_sidebar.html	(from http://glanz.starkethemes.com/html/01_02_home_pink_flowers.html)
13:06:01	36057/36057	---MCZ	200	added ('OK')	text/html	etag:W/%228cd9-552d6d811a291%22	http://glanz.starkethemes.com/html/04_03_shop_single_sidebar.html	D:/Wedding%20Web/glanz.starkethemes.com/html/04_03_shop_single_sidebar.html	(from http://glanz.starkethemes.com/html/01_02_home_pink_flowers.html)
13:06:01	40123/40123	---MCZ	200	added ('OK')	text/html	etag:W/%229cbb-552d6d82401b1%22	http://glanz.starkethemes.com/html/04_04_shop_cart.html	D:/Wedding%20Web/glanz.starkethemes.com/html/04_04_shop_cart.html	(from http://glanz.starkethemes.com/html/01_02_home_pink_flowers.html)
13:06:01	39901/39901	---MCZ	200	added ('OK')	text/html	etag:W/%229bdd-552d6d83806b1%22	http://glanz.starkethemes.com/html/04_05_shop_checkout.html	D:/Wedding%20Web/glanz.starkethemes.com/html/04_05_shop_checkout.html	(from http://glanz.starkethemes.com/html/01_02_home_pink_flowers.html)
13:06:02	60324/60324	---MCZ	200	added ('OK')	text/html	etag:W/%22eba4-552d6d85bea31%22	http://glanz.starkethemes.com/html/05_01_shortcodes.html	D:/Wedding%20Web/glanz.starkethemes.com/html/05_01_shortcodes.html	(from http://glanz.starkethemes.com/html/01_02_home_pink_flowers.html)
13:06:02	34631/34631	---MCZ	200	added ('OK')	text/html	etag:W/%228747-552d6d91d26f2%22	http://glanz.starkethemes.com/html/05_14_when_where.html	D:/Wedding%20Web/glanz.starkethemes.com/html/05_14_when_where.html	(from http://glanz.starkethemes.com/html/01_02_home_pink_flowers.html)
13:06:02	35053/35053	---MCZ	200	added ('OK')	text/html	etag:W/%2288ed-552d6d92e0f12%22	http://glanz.starkethemes.com/html/05_15_friends.html	D:/Wedding%20Web/glanz.starkethemes.com/html/05_15_friends.html	(from http://glanz.starkethemes.com/html/01_02_home_pink_flowers.html)
13:06:02	32599/32599	---MCZ	200	added ('OK')	text/html	etag:W/%227f57-552d6d941d592%22	http://glanz.starkethemes.com/html/05_16_about.html	D:/Wedding%20Web/glanz.starkethemes.com/html/05_16_about.html	(from http://glanz.starkethemes.com/html/01_02_home_pink_flowers.html)
13:06:03	31377/31377	---MCZ	200	added ('OK')	text/html	etag:W/%227a91-552d6d9527f32%22	http://glanz.starkethemes.com/html/05_17_save.html	D:/Wedding%20Web/glanz.starkethemes.com/html/05_17_save.html	(from http://glanz.starkethemes.com/html/01_02_home_pink_flowers.html)
13:06:03	38856/38856	---MCZ	200	added ('OK')	text/html	etag:W/%2297c8-552d6d9603ad2%22	http://glanz.starkethemes.com/html/05_18_rsvp.html	D:/Wedding%20Web/glanz.starkethemes.com/html/05_18_rsvp.html	(from http://glanz.starkethemes.com/html/01_02_home_pink_flowers.html)
13:06:03	32251/32251	---MCZ	200	added ('OK')	text/html	etag:W/%227dfb-552d6d9713292%22	http://glanz.starkethemes.com/html/05_19_badges.html	D:/Wedding%20Web/glanz.starkethemes.com/html/05_19_badges.html	(from http://glanz.starkethemes.com/html/01_02_home_pink_flowers.html)
13:06:03	26757/26757	---MCZ	200	added ('OK')	text/html	etag:W/%226885-552d6d86b8a31%22	http://glanz.starkethemes.com/html/05_02_testimonials.html	D:/Wedding%20Web/glanz.starkethemes.com/html/05_02_testimonials.html	(from http://glanz.starkethemes.com/html/01_02_home_pink_flowers.html)
13:06:04	33616/33616	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2019%20Nov%202022%2007:36:09%20GMT	http://glanz.starkethemes.com/html/05_03_passpartu.html	D:/Wedding%20Web/glanz.starkethemes.com/html/05_03_passpartu.html	(from http://glanz.starkethemes.com/html/01_02_home_pink_flowers.html)
13:06:05	24919/24919	---MCZ	200	added ('OK')	text/html	etag:W/%226157-552d6d87b7851%22	http://glanz.starkethemes.com/html/05_04_preloader.html	D:/Wedding%20Web/glanz.starkethemes.com/html/05_04_preloader.html	(from http://glanz.starkethemes.com/html/01_02_home_pink_flowers.html)
13:06:05	25074/25074	---MCZ	200	added ('OK')	text/html	etag:W/%2261f2-552d6d88b56d1%22	http://glanz.starkethemes.com/html/05_05_videointro.html	D:/Wedding%20Web/glanz.starkethemes.com/html/05_05_videointro.html	(from http://glanz.starkethemes.com/html/01_02_home_pink_flowers.html)
13:06:05	26062/26062	---MCZ	200	added ('OK')	text/html	etag:W/%2265ce-552d6d89a4af2%22	http://glanz.starkethemes.com/html/05_06_video_slider.html	D:/Wedding%20Web/glanz.starkethemes.com/html/05_06_video_slider.html	(from http://glanz.starkethemes.com/html/01_02_home_pink_flowers.html)
13:06:05	27255/27255	---MCZ	200	added ('OK')	text/html	etag:W/%226a77-552d6d8a9eaf2%22	http://glanz.starkethemes.com/html/05_07_video_section.html	D:/Wedding%20Web/glanz.starkethemes.com/html/05_07_video_section.html	(from http://glanz.starkethemes.com/html/01_02_home_pink_flowers.html)
13:06:06	25788/25788	---MCZ	200	added ('OK')	text/html	etag:W/%2264bc-552d6d8b91d92%22	http://glanz.starkethemes.com/html/05_08_slider.html	D:/Wedding%20Web/glanz.starkethemes.com/html/05_08_slider.html	(from http://glanz.starkethemes.com/html/01_02_home_pink_flowers.html)
13:06:06	24438/24438	---MCZ	200	added ('OK')	text/html	etag:W/%225f76-552d6d8cb1ef2%22	http://glanz.starkethemes.com/html/05_09_header_transparent.html	D:/Wedding%20Web/glanz.starkethemes.com/html/05_09_header_transparent.html	(from http://glanz.starkethemes.com/html/01_02_home_pink_flowers.html)
13:06:06	26796/26796	---MCZ	200	added ('OK')	text/html	etag:W/%2268ac-552d6d8dd8db2%22	http://glanz.starkethemes.com/html/05_10_header_white.html	D:/Wedding%20Web/glanz.starkethemes.com/html/05_10_header_white.html	(from http://glanz.starkethemes.com/html/01_02_home_pink_flowers.html)
13:06:06	26854/26854	---MCZ	200	added ('OK')	text/html	etag:W/%2268e6-552d6d8ecc052%22	http://glanz.starkethemes.com/html/05_11_header_black.html	D:/Wedding%20Web/glanz.starkethemes.com/html/05_11_header_black.html	(from http://glanz.starkethemes.com/html/01_02_home_pink_flowers.html)
13:06:07	27014/27014	---MCZ	200	added ('OK')	text/html	etag:W/%226986-552d6d8fb75f2%22	http://glanz.starkethemes.com/html/05_12_header_image.html	D:/Wedding%20Web/glanz.starkethemes.com/html/05_12_header_image.html	(from http://glanz.starkethemes.com/html/01_02_home_pink_flowers.html)
13:06:07	32562/32562	---MCZ	200	added ('OK')	text/html	etag:W/%227f32-552d6d90c6db2%22	http://glanz.starkethemes.com/html/05_13_footers.html	D:/Wedding%20Web/glanz.starkethemes.com/html/05_13_footers.html	(from http://glanz.starkethemes.com/html/01_02_home_pink_flowers.html)
13:06:08	123991/123991	---M--	200	added ('OK')	image/jpeg	etag:%225931599d-1e457%22	http://glanz.starkethemes.com/html/images/wedding/lauren_affonso/14400933225_3b844816c3_k.jpg	D:/Wedding%20Web/glanz.starkethemes.com/html/images/wedding/lauren_affonso/14400933225_3b844816c3_k.jpg	(from http://glanz.starkethemes.com/html/01_02_home_pink_flowers.html)
13:06:40	206761/206761	---M--	200	added ('OK')	image/jpeg	etag:%2259315972-327a9%22	http://glanz.starkethemes.com/html/images/wedding/lauren_affonso/14214412498_73d4296c75_k_sm.jpg	D:/Wedding%20Web/glanz.starkethemes.com/html/images/wedding/lauren_affonso/14214412498_73d4296c75_k_sm.jpg	(from http://glanz.starkethemes.com/html/01_02_home_pink_flowers.html)
